0.08883025,0.185671,0.08911392,0.1851528,0.08899522,0.08883025,0.08895131,0.1853568,0.0887931,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.08888889,0.08906482,0.08911392,0.1854685,0.1857585,0.0890411,0.1857585,0.0888494,0.08862745,0.08865815,0.08895131,0,,,,,,,,,,,,,,,,,,,,,,
0.08901791,0.08886894,0.08899522,0.08901791,0.1857585,0.08916537,0.5373135,0.08877508,0.08888889,0.08890925,0.0887574,0.08893006,0,,,,,,,,,,,,,,,,,,,,,
0.5408971,0,0.1854305,0.08890925,0.1853211,0.08881149,0.1848081,0.08906482,0.4102564,0.08897302,0.5371094,0.08888889,0.08888889,0,,,,,,,,,,,,,,,,,,,,
0,0.6742857,0.08883025,0.5405406,0,0.5366922,0.4148936,0.4120172,0.18509,0.4114833,0.4145078,0.08865815,0.5392731,0.08877508,0,,,,,,,,,,,,,,,,,,,
0.5416667,0,0,0.4125561,0,0.5379747,0.09542744,0.5377456,0.5392731,0,0.412844,0.09074733,0.4094488,0.4059406,0.4145078,0.4120603,,,,,,,,,,,,,,,,,,
0.5364807,0,0,0.4125561,0.6774193,0,0.4120172,0.4137931,0.416185,0.6746167,0.5392731,0.09337349,0.4094488,0.5379747,0,0.4122807,0,,,,,,,,,,,,,,,,,
0,0,0.4112903,0.681388,0.5389909,0.5360281,0,0,0,0,0.4102564,0,0,0.5398773,0,0,0.5408971,0,,,,,,,,,,,,,,,,
0.6792453,0.6783919,0,0.4109589,0.5351437,0.5384616,0.1864407,0.5362776,0.5387205,0.4134615,0.4131455,0.5392731,0.5371094,0,0.5377456,0,0.4134615,0,0,,,,,,,,,,,,,,,
0.8327975,0,0,0.534188,0.5358686,0,0,0.5362776,0.5408971,0.408046,0,0,0.4104478,0.4141414,0.5395684,0.5364807,0.6732118,0.4183007,0.8284024,0,,,,,,,,,,,,,,
0.6774193,0.412844,0.5339806,0.4100719,0,0.826969,0,0.297235,0.6737481,0.542522,0.6728111,0.536193,0.5333334,0.6734694,0.5340829,0.4125561,0,0.4134615,0.5338809,0.6712329,0,,,,,,,,,,,,,
0.8272727,0.5337838,0.5332497,0.5389909,0.5335366,0.6735598,1,0.408046,0,1,0.6778846,0.8318841,0.6760563,0.6738461,0.6744967,0,0.831309,0.5332497,0.09039548,0.4090909,0.5337838,0,,,,,,,,,,,,
